,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.35921233892440796,0.3858822286128998,0.0,0.6289360523223877,0.6618384718894958,0.41172078251838684,0.8372224569320679,0.0,0.07866775244474411,0.46099454164505005
ucraina,0.10875623673200607,0.1297377198934555,0.0,0.11954125761985779,0.2768373191356659,0.22069500386714935,0.3605220913887024,0.0,0.0,0.252319872379303
guerra,0.3723573088645935,0.3076481819152832,0.0,0.3624574840068817,0.5848968625068665,0.35474053025245667,0.7117953300476074,0.0,0.0,0.3809395432472229
