,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.14247530698776245,0.0643387958407402,0.034484829753637314,0.36905917525291443,0.3145550787448883,0.1569264531135559,0.4492059051990509,0.08517736941576004,0.0036860902328044176,0.2793545126914978
ucraina,0.14987140893936157,0.11176859587430954,0.03821520134806633,0.23311080038547516,0.2254006415605545,0.12142161279916763,0.24163487553596497,0.0,0.06769853085279465,0.2591675817966461
guerra,0.20720906555652618,0.0717572420835495,0.08069229125976562,0.19288213551044464,0.1993463635444641,0.2161148637533188,0.24401600658893585,0.043131254613399506,0.07386962324380875,0.30871057510375977
