,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.02045903354883194,0.0,0.0,0.11078456789255142,0.03986562788486481,0.019768182188272476,0.09378928691148758,0.0,0.0,0.0
ucraina,0.0034740855917334557,0.0,0.0,0.11869383603334427,0.17560186982154846,0.00926339440047741,0.33868733048439026,0.0,0.0,0.020169895142316818
guerra,0.0,0.09338981658220291,0.0,0.0,0.17993199825286865,0.08116830140352249,0.10394897311925888,0.0,0.0,0.0
