,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.3391095995903015,0.08939295262098312,0.09494520723819733,0.04631848260760307,0.29327812790870667,0.048317939043045044,0.6693158149719238,0.0,0.0,0.5018374919891357
ucraina,0.17898252606391907,0.013464497402310371,0.09702186286449432,0.07014419883489609,0.07566102594137192,0.0,0.13639190793037415,0.0,0.0,0.13725696504116058
guerra,0.4543904662132263,0.15798966586589813,0.10353617370128632,0.21045508980751038,0.35333487391471863,0.1957986056804657,0.6118349432945251,0.0,0.0,0.49674198031425476
