,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.1854650229215622,0.041968099772930145,0.009267367422580719,0.0425565205514431,0.0690612643957138,0.03895703703165054,0.06800247728824615,0.0,0.1984712779521942,0.01325635053217411
ucraina,0.0,0.043958522379398346,0.004196920897811651,0.0679125189781189,0.05631487816572189,0.036327019333839417,0.08511124551296234,0.0,0.0,0.027359984815120697
guerra,0.0,0.0,0.0600910484790802,0.1553380936384201,0.21094590425491333,0.0,0.27273041009902954,0.0,0.0,0.04838314652442932
