,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.4740430414676666,0.018499966710805893,0.1085493192076683,0.0,0.3544292747974396,0.15518924593925476,0.5101931095123291,0.038878630846738815,0.0,0.5081037282943726
ucraina,0.24290503561496735,0.0,0.006710595916956663,0.33568790555000305,0.03613857552409172,0.0,0.13381807506084442,0.009763702750205994,0.005425604991614819,0.08426588028669357
guerra,0.4138040840625763,0.032252393662929535,0.11903722584247589,0.14025214314460754,0.3007204234600067,0.13461430370807648,0.3799961507320404,0.17394010722637177,0.023363491520285606,0.3219360411167145
