,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.11707040667533875,0.11924546211957932,0.0,0.0,0.0,0.081692636013031,0.14710606634616852,0.0,0.03398124873638153,0.1304589956998825
ucraina,0.24817486107349396,0.0,0.0,0.2418011724948883,0.10956467688083649,0.49965426325798035,0.5496386885643005,0.0,0.0,0.27757078409194946
guerra,0.1899430900812149,0.040166229009628296,0.04442615434527397,0.02931307628750801,0.04453413933515549,0.4928017556667328,0.5507340431213379,0.0,0.0,0.32054412364959717
