,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.12362223863601685,0.0,0.0,0.29130008816719055,0.3342185616493225,0.24082313477993011,0.6592313051223755,0.08537914603948593,0.0,0.12103581428527832
ucraina,0.12358088791370392,0.12940087914466858,0.1777687519788742,0.13443425297737122,0.1136290580034256,0.09663452953100204,0.01760289818048477,0.0,0.0,0.21536985039710999
guerra,0.08933643996715546,0.07199972122907639,0.0,0.013316878117620945,0.17381156980991364,0.07613585889339447,0.2702231705188751,0.0,0.0,0.0876539871096611
