,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.0,0.1508151739835739,0.0,0.07711546868085861,0.12803909182548523,0.03408905118703842,0.3969210088253021,0.0,0.0,0.1846940666437149
ucraina,0.16550390422344208,0.03041594848036766,0.0,0.13388851284980774,0.10154306143522263,0.0,0.2799334228038788,0.0,0.0,0.066019706428051
guerra,0.0,0.13481760025024414,0.055353835225105286,0.0,0.06534481048583984,0.02246006578207016,0.35830220580101013,0.0,0.0,0.035574786365032196
