,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.06066311523318291,0.0,0.0,0.05522811412811279,0.0,0.039265669882297516,0.0,0.0,0.0,0.0
ucraina,0.01674899458885193,0.1448231190443039,0.0,0.16106563806533813,0.17676906287670135,0.0,0.013760406523942947,0.0,0.0,0.1702696532011032
guerra,0.06275336444377899,0.1817435920238495,0.0,0.268465518951416,0.3126973807811737,0.0,0.4268224239349365,0.0,0.0,0.25786319375038147
