,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.0,0.10815534740686417,0.0790223628282547,0.012739207595586777,0.06389907747507095,0.05215545371174812,0.025403916835784912,0.0,0.0,0.0
ucraina,0.12071089446544647,0.13061626255512238,0.0,0.0,0.1502709835767746,0.047934241592884064,0.18139442801475525,0.0,0.040849827229976654,0.12824402749538422
guerra,0.0,0.0,0.028654051944613457,0.058004412800073624,0.09803133457899094,0.0,0.268815815448761,0.06641337275505066,0.1145988181233406,0.11396275460720062
