,gas,armi,conflitto,nato,europa,usa,italia,invasione,aggressione,ue
russia,0.41266611218452454,0.3783056437969208,0.0,0.5489939451217651,0.7235764861106873,0.4373174011707306,0.8856217265129089,0.0,0.0,0.4180794656276703
ucraina,0.17914481461048126,0.19045144319534302,0.0,0.14456646144390106,0.41591355204582214,0.29576370120048523,0.35612744092941284,0.0,0.0,0.2028726041316986
guerra,0.2865048944950104,0.24161845445632935,0.0,0.363657146692276,0.5077739953994751,0.35663744807243347,0.6545061469078064,0.0,0.0,0.2895304262638092
